city_std,city_clean,n_historical_events,low_history_city,mean_jaccard,median_jaccard,mean_overlap_coefficient,median_overlap_coefficient,split_reps
德州,德州市,5,False,0.11736263736263734,0.08333333333333333,0.3828333333333333,0.3333333333333333,100.0
宁德,宁德市,6,False,0.2095,0.2,0.3816666666666667,0.3333333333333333,100.0
玉林,玉林市,5,False,0.17988095238095245,0.125,0.36,0.3333333333333333,100.0
雅安,雅安市,8,False,0.194345238095238,0.14285714285714285,0.355,0.3333333333333333,100.0
东营,东营市,4,False,0.1099080459770115,0.10344827586206896,0.31916666666666665,0.3333333333333333,100.0
抚州,抚州市,4,False,0.1033333333333333,0.16666666666666666,0.2066666666666666,0.3333333333333333,100.0
贵阳,贵阳市,19,False,0.17325357880410724,0.17584541062801934,0.3181868296667463,0.32,100.0
合肥,合肥市,12,False,0.09731407686490583,0.09302884615384616,0.32029046305506464,0.3157894736842105,100.0
呼和浩特,呼和浩特市,9,False,0.1448374195449835,0.14814814814814814,0.2914629953379953,0.3076923076923077,100.0
深圳,深圳市,28,False,0.15853000318498398,0.1587730231269907,0.3052982583487411,0.3,100.0
哈尔滨,哈尔滨市,6,False,0.08357142857142855,0.10714285714285714,0.26766233766233766,0.3,100.0
广州,广州市,21,False,0.14558615233773772,0.14359351988217967,0.2980770062115132,0.29758481886141464,100.0
邯郸,邯郸市,10,False,0.13525948444399502,0.13333333333333333,0.3026846674567263,0.29411764705882354,100.0
长沙,长沙市,22,False,0.13039986902627396,0.13224043715846995,0.2898154732891489,0.29330943847072877,100.0
芜湖,芜湖市,6,False,0.09517887856897143,0.1111111111111111,0.2691666666666666,0.2857142857142857,100.0
扬州,扬州市,7,False,0.14758874703727642,0.13333333333333333,0.3263968253968254,0.2857142857142857,100.0
重庆,重庆,19,False,0.12707470185798359,0.1388888888888889,0.276736479421851,0.2777777777777778,100.0
杭州,杭州市,25,False,0.1408628984365291,0.14102564102564102,0.2744975432274293,0.275,100.0
东莞,东莞市,15,False,0.1219841762241143,0.11428571428571428,0.2762955327696039,0.26666666666666666,100.0
北京,北京,24,False,0.11283353926977252,0.11224489795918367,0.2712956465040982,0.265441512886991,100.0
遂宁,遂宁市,6,False,0.14655555555555558,0.1111111111111111,0.303,0.25,100.0
汕头,汕头市,9,False,0.08044945661549077,0.09090909090909091,0.23163189588189592,0.25,100.0
南充,南充市,4,False,0.0871428571428571,0.14285714285714285,0.17666666666666664,0.25,100.0
宣城,宣城市,6,False,0.09071428571428569,0.14285714285714285,0.1858333333333333,0.25,100.0
铜陵,铜陵市,6,False,0.1355,0.1111111111111111,0.28583333333333333,0.25,100.0
鹤壁,鹤壁市,5,False,0.08094736842105263,0.1,0.24740476190476188,0.25,100.0
莆田,莆田市,4,False,0.13,0.125,0.22899999999999993,0.25,100.0
焦作,焦作市,7,False,0.04281547619047618,0.06666666666666667,0.2008333333333333,0.25,100.0
聊城,聊城市,5,False,0.0957142857142857,0.14285714285714285,0.19333333333333333,0.25,100.0
菏泽,菏泽市,4,False,0.11111111111111112,0.1111111111111111,0.23349999999999999,0.25,100.0
乐山,乐山市,6,False,0.11529304029304027,0.07692307692307693,0.29950000000000004,0.25,100.0
南京,南京市,22,False,0.12271581051088724,0.12244897959183673,0.24957897519412278,0.24037037037037035,100.0
洛阳,洛阳市,12,False,0.10459717441683923,0.09375,0.24403029650088473,0.23529411764705882,100.0
苏州,苏州市,6,False,0.09132954936360509,0.1111111111111111,0.20469047619047617,0.2222222222222222,100.0
南阳,南阳市,8,False,0.10853383458646615,0.10526315789473684,0.22644877344877343,0.2222222222222222,100.0
临沂,临沂市,11,False,0.09224758794359557,0.0851063829787234,0.21110109907952485,0.20833333333333334,100.0
滨州,滨州市,7,False,0.12917728758169933,0.058823529411764705,0.23644444444444443,0.20833333333333331,100.0
衢州,衢州市,6,False,0.07180555555555555,0.1111111111111111,0.13649999999999998,0.2,100.0
唐山,唐山市,6,False,0.10296620046620047,0.08333333333333333,0.20738095238095236,0.2,100.0
自贡,自贡市,9,False,0.08127380952380951,0.1111111111111111,0.16799999999999998,0.2,100.0
吉林,吉林市,6,False,0.08888888888888889,0.1111111111111111,0.18049999999999997,0.2,100.0
黄石,黄石市,5,False,0.11259906759906758,0.07692307692307693,0.23233333333333334,0.2,100.0
徐州,徐州市,7,False,0.08113664596273291,0.08695652173913043,0.19676659451659448,0.18181818181818182,100.0
泉州,泉州市,14,False,0.07895753524829262,0.07692307692307693,0.1730616756824187,0.16666666666666666,100.0
无锡,无锡市,10,False,0.07264416995299348,0.05714285714285714,0.15877722999394825,0.16666666666666666,100.0
咸阳,咸阳市,8,False,0.06431585081585081,0.08333333333333333,0.1327142857142857,0.16666666666666666,100.0
上海,上海,15,False,0.07213598845290081,0.07299658994032396,0.1668476623785833,0.1639784946236559,100.0
惠州,惠州市,10,False,0.07284729064039407,0.07019704433497537,0.15985350760350758,0.15384615384615385,100.0
兰州,兰州市,7,False,0.05743568106611583,0.041666666666666664,0.17335173160173156,0.14285714285714285,100.0
温州,温州市,12,False,0.05557686557531759,0.05555555555555555,0.1323157880131564,0.13333333333333333,100.0
金华,金华市,16,False,0.0611367123425947,0.05714285714285714,0.13104468420296592,0.125,100.0
中山,中山市,11,False,0.06242193675889328,0.041666666666666664,0.12437101787101788,0.1,100.0
崇左,崇左市,4,False,0.0,0.0,0.0,0.0,100.0
达州,达州市,6,False,0.030000000000000006,0.0,0.065,0.0,100.0
榆林,榆林市,5,False,0.018461538461538463,0.0,0.06749999999999999,0.0,100.0
十堰,十堰市,4,False,0.0,0.0,0.0,0.0,100.0
嘉兴,嘉兴市,6,False,0.0,0.0,0.0,0.0,100.0
湖州,湖州市,5,False,0.0,0.0,0.0,0.0,100.0
连云港,连云港市,4,False,0.0,0.0,0.0,0.0,100.0
江门,江门市,6,False,0.0,0.0,0.0,0.0,100.0
湘潭,湘潭市,4,False,0.0,0.0,0.0,0.0,100.0
