city_std,city_clean,n_extreme_events,total_affected_grids,total_reports,population_exposure_total,population_exposure_uncovered,road_exposure_total,road_exposure_uncovered,function_exposure_total,function_exposure_uncovered,population_outside_share,road_outside_share,function_outside_share
长春,长春市,5,118,194.0,11675.837813079357,6478.085489243269,297.86409855537056,184.39711632136812,100508.0,55919.0,0.554828320926698,0.6190645909180967,0.5563636725434791
长沙,长沙市,6,145,257.0,12624.980859875679,9524.607092022896,461.8230859652837,312.95036730957554,131780.0,92055.0,0.7544254678669419,0.677641237131876,0.6985506146607983
阜阳,阜阳市,2,10,17.0,379.08589267730713,278.2032346725464,26.61826261927803,17.756438187167266,7968.0,6572.0,0.733879155216583,0.6670772785263351,0.8247991967871486
阳江,阳江市,2,24,36.0,1407.885855525732,626.5864132344723,57.26265523948395,39.7404986528108,16231.0,12241.0,0.4450548393360289,0.6940037706356444,0.7541741112685602
随州,随州市,2,15,63.0,512.692685842514,491.44002318382263,13.035676576869573,9.702760014356784,8399.0,5525.0,0.9585469751264997,0.7443234692991159,0.6578164067150851
雅安,雅安市,2,19,85.0,2124.986894965172,678.306107878685,20.09285537356164,12.307875689824922,8172.0,3564.0,0.3192048428561261,0.6125498572004722,0.43612334801762115
青岛,青岛市,5,186,333.0,15914.330257177353,8470.104918003082,591.4111544453658,403.17331250459046,120390.0,69462.0,0.5322313148668679,0.6817140824519828,0.5769748317966609
马鞍山,马鞍山市,3,43,102.0,1665.569252550602,1127.8292575478554,113.53543152982232,85.96774548254035,16210.0,12758.0,0.6771434185764008,0.7571886971685947,0.7870450339296731
驻马店,驻马店市,2,11,34.0,823.121361374855,823.121361374855,21.735993545973336,21.735993545973336,5788.0,5788.0,1.0,1.0,1.0
鹤壁,鹤壁市,2,74,251.0,2864.376790702343,2630.5785413980484,127.87858255338112,110.41597897132674,25440.0,22877.0,0.9183772714318889,0.8634438759534665,0.899253144654088
黄冈,黄冈市,2,23,40.0,826.9027214050293,823.8500609397888,48.87815077113662,48.28508196678358,17448.0,17290.0,0.9963083197258639,0.9878663821156005,0.9909445208619899
黄山,黄山市,2,20,127.0,586.7038695812225,570.1914527416229,32.31628191275166,30.712851179051103,11550.0,11298.0,0.9718556196818919,0.9503831926572016,0.9781818181818182
黄石,黄石市,2,23,54.0,1667.29008102417,875.9361763000488,75.1333802892565,59.87453007508276,14816.0,7836.0,0.5253651936572342,0.7969098401345902,0.5288876889848813
