city_std,city_clean,n_extreme_events,total_affected_grids,total_reports,population_exposure_total,population_exposure_uncovered,road_exposure_total,road_exposure_uncovered,function_exposure_total,function_exposure_uncovered,population_outside_share,road_outside_share,function_outside_share
梧州,梧州市,1,4,9.0,176.36040687561035,176.36040687561035,10.163961678322837,10.163961678322837,939.0,939.0,1.0,1.0,1.0
榆林,榆林市,2,27,38.0,728.7816282659769,715.3494907766581,63.33356663364185,58.76288017678799,10489.0,10125.0,0.9815690503597373,0.927831532316925,0.9652969777862522
武汉,武汉市,5,280,688.0,28817.72184215486,18012.618820533156,942.3772133112317,595.3868703007888,216921.0,125574.0,0.6250535319618539,0.6317925156623614,0.5788927766329678
永州,永州市,1,11,16.0,429.4190899133682,429.4190899133682,24.018100148070385,24.018100148070385,6576.0,6576.0,1.0,1.0,1.0
汕头,汕头市,3,130,752.0,9855.677334308624,8844.4279255867,164.64770473563794,138.89159355413437,76550.0,57595.0,0.8973942252348643,0.8435683557031167,0.752384062704115
江门,江门市,2,29,44.0,722.2440375685692,620.4813060164452,37.29924297370224,34.18312541972369,18393.0,14639.0,0.8591020122579236,0.9164562788532848,0.7959006143641603
池州,池州市,3,25,46.0,387.3982936888933,361.6517459899187,33.664649132113006,31.1899772902162,2997.0,2708.0,0.9335398526054149,0.9264904905978599,0.9035702369035702
沧州,沧州市,2,9,105.0,122.63986563682556,90.36340594291688,15.065820048973643,9.97406677288511,3283.0,3229.0,0.736819185781814,0.6620327828464001,0.9835516296070667
河源,河源市,1,13,18.0,338.904039144516,322.27099204063416,18.376602404273203,12.692667694021146,9087.0,7920.0,0.9509210715048777,0.6906971928102257,0.8715747771541763
泉州,泉州市,4,66,123.0,4180.674110651016,3213.4292414188385,160.53250202001124,132.159354431866,45163.0,30861.0,0.7686390176244668,0.8232560557449707,0.6833248455594181
泰安,泰安市,2,22,30.0,788.7026497721672,783.4486653208733,41.175773348627516,36.85891054606909,8470.0,8224.0,0.9933384470651752,0.8951601281168817,0.9709563164108619
泸州,泸州市,1,3,9.0,390.3379919528961,240.3923590183258,7.94725846588006,5.344960655914543,1733.0,1211.0,0.6158569341806089,0.6725540233606401,0.6987882285054818
洛阳,洛阳市,3,92,395.0,3809.9918200969696,2950.03093791008,147.799324291705,118.10644041971327,55809.0,42194.0,0.7742879977718686,0.7991000025589549,0.7560429321435611
济南,济南市,7,115,261.0,8692.085859775543,6214.368264436722,412.07941847606844,235.03964473930276,99191.0,61353.0,0.714945568266303,0.5703746273194489,0.6185339395711305
济宁,济宁市,3,57,134.0,2695.3469185829163,2062.027530193329,155.84570236548475,108.52996147804481,39101.0,22628.0,0.7650323288541439,0.6963936754798893,0.5787064269456024
海口,海口市,7,219,1019.0,20144.174123764038,11388.547527313232,458.2909905566005,230.51000024903692,254832.0,102874.0,0.565351920478,0.5029773768170295,0.4036934137000063
淮北,淮北市,2,27,50.0,2523.4699172973633,1030.031723022461,29.546734233917643,13.690443710748154,18139.0,5743.0,0.4081807022790369,0.4633487952462934,0.31661061800540274
淮南,淮南市,1,9,11.0,308.7327243089676,308.7327243089676,14.948611929344356,14.948611929344356,3826.0,3826.0,1.0,1.0,1.0
深圳,深圳市,7,170,411.0,28993.482677459717,21875.655323028564,760.6248897058163,513.9531598395523,165408.0,111800.0,0.7545025054901481,0.6756985825671993,0.6759044302573032
清远,清远市,3,25,39.0,825.1850794553757,688.0322855710983,44.49424634263215,44.49424634263215,22240.0,11218.0,0.833791476240944,1.0,0.5044064748201439
温州,温州市,4,63,113.0,8052.879449725151,6315.006756663322,149.8669999888808,124.20203282197069,48532.0,41113.0,0.7841923868460314,0.8287483757677522,0.8471317893348719
