city_clean,city_std,Event_ID,city_grid_count,historical_inventory_grids,affected_grids,observed_covered_affected_grids,observed_impact_coverage_rate,observed_uncovered_impact_share,random_mean_impact_coverage_rate,random_median_impact_coverage_rate,random_q05_impact_coverage_rate,random_q95_impact_coverage_rate,coverage_lift,coverage_difference,empirical_p_value,random_reps
池州市,池州,5430,369,4,6,0,0.0,1.0,0.013666666666666666,0.0,0.0,0.16666666666666666,0.0,-0.013666666666666666,1.0,500
沧州市,沧州,4098,5396,7,8,2,0.25,0.75,0.00175,0.0,0.0,0.0,142.85714285714286,0.24825,0.0,500
沧州市,沧州,4939,5396,7,1,1,1.0,0.0,0.002,0.0,0.0,0.0,500.0,0.998,0.002,500
河源市,河源,1195,396,4,13,2,0.15384615384615385,0.8461538461538461,0.007846153846153846,0.0,0.0,0.07692307692307693,19.607843137254903,0.14600000000000002,0.004,500
泉州市,泉州,2139,2131,34,26,5,0.19230769230769232,0.8076923076923077,0.01746153846153846,0.0,0.0,0.07692307692307693,11.01321585903084,0.17484615384615387,0.0,500
泉州市,泉州,2308,2131,35,5,0,0.0,1.0,0.016399999999999998,0.0,0.0,0.2,0.0,-0.016399999999999998,1.0,500
泉州市,泉州,4048,2131,35,6,0,0.0,1.0,0.012666666666666666,0.0,0.0,0.16666666666666666,0.0,-0.012666666666666666,1.0,500
泉州市,泉州,7094,2131,32,29,3,0.10344827586206896,0.896551724137931,0.015655172413793106,0.0,0.0,0.06896551724137931,6.607929515418501,0.08779310344827586,0.004,500
泰安市,泰安,2103,1818,9,9,1,0.1111111111111111,0.8888888888888888,0.0031111111111111114,0.0,0.0,0.0,35.71428571428571,0.108,0.028,500
泰安市,泰安,3470,1818,8,13,1,0.07692307692307693,0.9230769230769231,0.005692307692307693,0.0,0.0,0.07692307692307693,13.513513513513514,0.07123076923076924,0.072,500
泸州市,泸州,1720,1186,2,3,1,0.3333333333333333,0.6666666666666666,0.0026666666666666666,0.0,0.0,0.0,125.0,0.33066666666666666,0.008,500
洛阳市,洛阳,5799,1568,26,26,3,0.11538461538461539,0.8846153846153846,0.016384615384615386,0.0,0.0,0.07692307692307693,7.04225352112676,0.099,0.004,500
洛阳市,洛阳,6477,1568,29,4,2,0.5,0.5,0.0235,0.0,0.0,0.25,21.27659574468085,0.4765,0.002,500
洛阳市,洛阳,6506,1568,22,62,13,0.20967741935483872,0.7903225806451613,0.013741935483870966,0.016129032258064516,0.0,0.03225806451612903,15.258215962441318,0.19593548387096776,0.0,500
济南市,济南,1449,3449,56,8,6,0.75,0.25,0.0195,0.0,0.0,0.125,38.46153846153846,0.7305,0.0,500
济南市,济南,1932,3449,55,21,9,0.42857142857142855,0.5714285714285714,0.015333333333333332,0.0,0.0,0.047619047619047616,27.950310559006212,0.41323809523809524,0.0,500
济南市,济南,2038,3449,55,19,5,0.2631578947368421,0.7368421052631579,0.016315789473684214,0.0,0.0,0.05263157894736842,16.129032258064512,0.24684210526315786,0.0,500
济南市,济南,2099,3449,56,18,7,0.3888888888888889,0.6111111111111112,0.015222222222222222,0.0,0.0,0.05555555555555555,25.547445255474454,0.37366666666666665,0.0,500
济南市,济南,2112,3449,55,15,6,0.4,0.6,0.014666666666666668,0.0,0.0,0.06666666666666667,27.27272727272727,0.38533333333333336,0.0,500
济南市,济南,4948,3449,55,23,3,0.13043478260869565,0.8695652173913043,0.015652173913043476,0.0,0.0,0.08695652173913043,8.333333333333334,0.11478260869565217,0.01,500
济南市,济南,6659,3449,56,11,6,0.5454545454545454,0.45454545454545453,0.01509090909090909,0.0,0.0,0.09090909090909091,36.14457831325301,0.5303636363636364,0.0,500
济宁市,济宁,4200,2671,20,5,1,0.2,0.8,0.007199999999999999,0.0,0.0,0.0,27.777777777777782,0.1928,0.036,500
济宁市,济宁,4821,2671,19,19,6,0.3157894736842105,0.6842105263157895,0.0070526315789473685,0.0,0.0,0.05263157894736842,44.776119402985074,0.30873684210526314,0.0,500
济宁市,济宁,4891,2671,18,33,9,0.2727272727272727,0.7272727272727273,0.006484848484848485,0.0,0.0,0.030303030303030304,42.05607476635514,0.2662424242424242,0.0,500
海口市,海口,929,319,28,28,12,0.42857142857142855,0.5714285714285714,0.0877142857142857,0.07142857142857142,0.0,0.17857142857142858,4.88599348534202,0.34085714285714286,0.0,500
海口市,海口,1097,319,29,34,13,0.38235294117647056,0.6176470588235294,0.08611764705882352,0.08823529411764706,0.029411764705882353,0.14852941176470455,4.439890710382514,0.29623529411764704,0.0,500
海口市,海口,1562,319,29,29,14,0.4827586206896552,0.5172413793103449,0.09179310344827586,0.10344827586206896,0.034482758620689655,0.1724137931034483,5.259203606311044,0.39096551724137935,0.0,500
海口市,海口,2109,319,28,32,16,0.5,0.5,0.0863125,0.09375,0.0,0.15625,5.792903692976104,0.4136875,0.0,500
海口市,海口,3015,319,28,34,14,0.4117647058823529,0.5882352941176471,0.08782352941176472,0.08823529411764706,0.029411764705882353,0.17647058823529413,4.688546550569323,0.3239411764705882,0.0,500
海口市,海口,3633,319,29,24,15,0.625,0.375,0.08766666666666667,0.08333333333333333,0.0,0.20833333333333334,7.1292775665399235,0.5373333333333333,0.0,500
海口市,海口,4126,319,29,38,17,0.4473684210526316,0.5526315789473685,0.09342105263157893,0.07894736842105263,0.02631578947368421,0.15789473684210525,4.788732394366198,0.3539473684210527,0.0,500
淮北市,淮北,4057,718,12,11,5,0.45454545454545453,0.5454545454545454,0.016727272727272726,0.0,0.0,0.09090909090909091,27.17391304347826,0.43781818181818183,0.0,500
淮北市,淮北,6461,718,11,16,6,0.375,0.625,0.01325,0.0,0.0,0.0625,28.30188679245283,0.36175,0.0,500
淮南市,淮南,5514,976,5,9,0,0.0,1.0,0.0035555555555555553,0.0,0.0,0.0,0.0,-0.0035555555555555553,1.0,500
深圳市,深圳,664,1108,75,35,9,0.2571428571428571,0.7428571428571429,0.06691428571428573,0.05714285714285714,0.0,0.14285714285714285,3.8428693424423557,0.19022857142857139,0.0,500
深圳市,深圳,751,1108,73,53,12,0.22641509433962265,0.7735849056603774,0.06724528301886792,0.05660377358490566,0.018867924528301886,0.1320754716981132,3.367003367003367,0.15916981132075472,0.002,500
深圳市,深圳,759,1108,76,18,3,0.16666666666666666,0.8333333333333334,0.06711111111111111,0.05555555555555555,0.0,0.16666666666666666,2.4834437086092715,0.09955555555555555,0.112,500
深圳市,深圳,1196,1108,76,28,9,0.32142857142857145,0.6785714285714286,0.06792857142857142,0.07142857142857142,0.0,0.14285714285714285,4.731861198738171,0.25350000000000006,0.0,500
深圳市,深圳,1210,1108,76,24,7,0.2916666666666667,0.7083333333333334,0.06933333333333333,0.08333333333333333,0.0,0.16666666666666666,4.20673076923077,0.22233333333333336,0.0,500
