city_std,city_clean,number_of_extreme_events,median_uncovered_impact_share,mean_uncovered_impact_share,median_population_exposure_outside,median_road_exposure_outside,median_function_exposure_outside,proportion_events_uncovered_share_gt_25,proportion_events_uncovered_share_gt_50
泉州,泉州市,4,0.9482758620689655,0.9260610079575597,0.8639310583379323,0.9259690362970041,0.8114355231143553,1.0,1.0
荆州,荆州市,1,0.9473684210526315,0.9473684210526315,0.9614669726369824,0.9433983229996086,0.8870845771144279,1.0,1.0
宜宾,宜宾市,2,0.9444444444444444,0.9444444444444444,0.957283586429557,0.9664602380416045,0.9176146788990825,1.0,1.0
玉林,玉林市,2,0.9444444444444444,0.9444444444444444,0.9570580641025895,0.9779659087967358,0.9456266362354837,1.0,1.0
许昌,许昌市,2,0.9444444444444444,0.9444444444444444,0.7698786365810915,1.0,0.8823180379746836,1.0,1.0
常州,常州市,2,0.9375,0.9375,0.9090253180291052,0.8832761334228343,0.9403619712167466,1.0,1.0
揭阳,揭阳市,1,0.9375,0.9375,0.9181574074030343,0.9872391373247096,0.9870883676853827,1.0,1.0
上饶,上饶市,2,0.9330357142857143,0.9330357142857143,0.881979803416409,0.9042418307123665,0.9056203736674995,1.0,1.0
芜湖,芜湖市,2,0.9259259259259259,0.9259259259259259,0.8100243997211357,0.8671987143541227,0.9062935978917996,1.0,1.0
上海,上海,4,0.9251336898395721,0.9175932999462411,0.9227120269229347,0.9590380445209805,0.882363104013011,1.0,1.0
晋城,晋城市,1,0.9230769230769231,0.9230769230769231,0.9474556144005404,0.841921224304977,0.9395639628085924,1.0,1.0
苏州,苏州市,2,0.9198717948717949,0.9198717948717949,0.8744265672347351,0.9445199988004774,0.943977616637818,1.0,1.0
宣城,宣城市,2,0.9166666666666667,0.9166666666666667,0.7412667421170835,0.9410819515020901,0.8404893813481071,1.0,1.0
达州,达州市,2,0.9166666666666667,0.9166666666666667,0.8418945813019862,0.9905098602018969,0.8230883628702441,1.0,1.0
南充,南充市,1,0.9166666666666666,0.9166666666666666,0.9907819913521285,0.9310504019400986,0.9139088923052027,1.0,1.0
临沂,临沂市,3,0.9148936170212766,0.9081391421816954,0.9722511088896676,0.9363235815354237,0.9075921542103483,1.0,1.0
镇江,镇江市,1,0.9142857142857143,0.9142857142857143,0.9038753918876716,0.8644508849552223,0.8751382120479955,1.0,1.0
滨州,滨州市,2,0.90625,0.90625,0.8942072293701452,0.9266233630085267,0.7333965844402277,1.0,1.0
