city_clean,city_std,Event_ID,is_extreme,Event_Peak_Rain,total_affected_grids,total_reports,historical_hotspot_grids,covered_affected_grids,uncovered_affected_grids,impact_coverage_rate,uncovered_impact_share,report_weighted_coverage_rate,report_weighted_uncovered_share,population_exposure_outside_historical_hotspots,road_exposure_outside_historical_hotspots,function_exposure_outside_historical_hotspots,historical_hotspot_definition,event_impact_definition,analysis_scale_m
南宁市,南宁,3310,1,61.96138381958008,34,60.0,31,8,26,0.23529411764705882,0.7647058823529411,0.31666666666666665,0.6833333333333333,0.71662992083575,0.6959136606303025,0.7135214956395753,loo_positive_history_top_20pct,gt0,1000
南宁市,南宁,4021,1,64.1739273071289,11,14.0,33,2,9,0.18181818181818182,0.8181818181818182,0.2857142857142857,0.7142857142857143,0.9138531457507649,0.6334835314634001,0.8817402690155934,loo_positive_history_top_20pct,gt0,1000
南平市,南平,3945,1,69.65949249267578,9,22.0,2,0,9,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
南昌市,南昌,296,1,52.88372421264648,37,145.0,58,25,12,0.6756756756756757,0.32432432432432434,0.8551724137931035,0.14482758620689656,0.21918406900097265,0.35082003762734126,0.1922712703962704,loo_positive_history_top_20pct,gt0,1000
南昌市,南昌,473,1,48.7550048828125,44,101.0,57,26,18,0.5909090909090909,0.4090909090909091,0.801980198019802,0.19801980198019803,0.2593490969876886,0.3263250400941749,0.2339086626775549,loo_positive_history_top_20pct,gt0,1000
南昌市,南昌,822,1,78.26285552978516,23,70.0,57,15,8,0.6521739130434783,0.34782608695652173,0.8,0.2,0.1579083075334663,0.26783914532452485,0.20177470296285155,loo_positive_history_top_20pct,gt0,1000
南昌市,南昌,2359,1,81.9691162109375,30,80.0,58,19,11,0.6333333333333333,0.36666666666666664,0.675,0.325,0.2017422434714404,0.31777957581555766,0.13317903952101834,loo_positive_history_top_20pct,gt0,1000
南昌市,南昌,3994,1,94.73480224609376,100,248.0,56,32,68,0.32,0.68,0.47580645161290325,0.5241935483870968,0.520795339150962,0.6357371720439721,0.43182362506460276,loo_positive_history_top_20pct,gt0,1000
南昌市,南昌,5196,1,81.2809295654297,48,104.0,56,16,32,0.3333333333333333,0.6666666666666666,0.41346153846153844,0.5865384615384616,0.5496690028875899,0.5836231290468292,0.43298333889559215,loo_positive_history_top_20pct,gt0,1000
南通市,南通,1745,1,77.27294921875,10,14.0,1,0,10,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
南阳市,南阳,1956,1,38.59742736816406,8,19.0,16,1,7,0.125,0.875,0.10526315789473684,0.8947368421052632,0.736641382687563,0.7625620898587893,0.5029520295202952,loo_positive_history_top_20pct,gt0,1000
南阳市,南阳,4826,1,70.75160217285156,36,138.0,14,8,28,0.2222222222222222,0.7777777777777778,0.30434782608695654,0.6956521739130435,0.7393108508818931,0.7231720549042028,0.5949642023972327,loo_positive_history_top_20pct,gt0,1000
南阳市,南阳,5867,1,40.41130828857422,8,15.0,16,0,8,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
厦门市,厦门,388,1,30.639652252197266,8,10.0,43,6,2,0.75,0.25,0.8,0.2,0.024448796674785715,0.30005346053244325,0.344266788487894,loo_positive_history_top_20pct,gt0,1000
厦门市,厦门,574,1,37.04954147338867,10,67.0,42,6,4,0.6,0.4,0.8656716417910447,0.13432835820895522,0.14087404451611235,0.36375699693609287,0.4746851709072218,loo_positive_history_top_20pct,gt0,1000
厦门市,厦门,778,1,88.93655395507812,5,8.0,43,3,2,0.6,0.4,0.375,0.625,0.25069631658604213,0.2945005378705177,0.10093652445369407,loo_positive_history_top_20pct,gt0,1000
厦门市,厦门,1598,1,39.93134689331056,18,73.0,42,9,9,0.5,0.5,0.5342465753424658,0.4657534246575342,0.10894069547072875,0.38921255848727865,0.26430791298111406,loo_positive_history_top_20pct,gt0,1000
厦门市,厦门,2133,1,68.83145141601562,29,77.0,42,16,13,0.5517241379310345,0.4482758620689655,0.6883116883116883,0.3116883116883117,0.11892176875857627,0.317909941104404,0.24058755315036723,loo_positive_history_top_20pct,gt0,1000
厦门市,厦门,3514,1,31.40517807006836,24,89.0,42,13,11,0.5416666666666666,0.4583333333333333,0.8202247191011236,0.1797752808988764,0.09164339485846325,0.45031232355799466,0.32118599791013586,loo_positive_history_top_20pct,gt0,1000
厦门市,厦门,5649,1,40.112281799316406,18,44.0,42,8,10,0.4444444444444444,0.5555555555555556,0.5,0.5,0.48765441519042524,0.5528489648122197,0.5240523542410335,loo_positive_history_top_20pct,gt0,1000
台州市,台州,4212,1,113.9600067138672,108,217.0,3,1,107,0.009259259259259259,0.9907407407407407,0.004608294930875576,0.9953917050691244,0.97666028570479,0.9872362742530836,0.9599564538268567,loo_positive_history_top_20pct,gt0,1000
合肥市,合肥,503,1,65.04411315917969,17,32.0,58,2,15,0.11764705882352941,0.8823529411764706,0.09375,0.90625,0.9254793318942439,0.8612300567466451,0.8912593984962406,loo_positive_history_top_20pct,gt0,1000
合肥市,合肥,2741,1,66.37077331542969,30,123.0,57,11,19,0.36666666666666664,0.6333333333333333,0.35772357723577236,0.6422764227642277,0.5029063637273564,0.5833496054032937,0.5170968453562762,loo_positive_history_top_20pct,gt0,1000
合肥市,合肥,5456,1,68.9690933227539,32,85.0,58,10,22,0.3125,0.6875,0.36470588235294116,0.6352941176470588,0.5600164438597971,0.5760811561014704,0.5564592226465963,loo_positive_history_top_20pct,gt0,1000
